@ HyperIMU -ianovir - 2018
@ Date:Wed Oct 30 12:35:57 GMT+05:00 2019, Sampling Rate:100ms

timestamp,LSM6DSL_Acceleration_Sensor.x,LSM6DSL_Acceleration_Sensor.y,LSM6DSL_Acceleration_Sensor.z,LSM6DSL_Gyroscope_Sensor.x,LSM6DSL_Gyroscope_Sensor.y,LSM6DSL_Gyroscope_Sensor.z,AK09916C_Magnetic_field_Sensor.x,AK09916C_Magnetic_field_Sensor.y,AK09916C_Magnetic_field_Sensor.z,GPS.lat,GPS.long,GPS.alt
1572420969702,-4.0966043,2.116539,8.511647,0.038560256,0.058255166,-0.022043684,18.6,51.36,-1.38,0.0,0.0,0.0
1572420969801,-4.189981,2.0375278,8.662486,-0.042073954,0.05214651,0.02621467,18.96,51.42,-0.84,0.0,0.0,0.0
1572420969903,-4.166038,2.0854135,8.652909,0.03550593,0.00999681,-0.006161187,18.96,51.239998,-1.1999999,0.0,0.0,0.0
1572420970005,-4.1085753,2.1021733,8.595447,0.010460457,0.016716328,-0.017767625,19.199999,51.12,-0.53999996,0.0,0.0,0.0
1572420970105,-4.2378664,2.0231621,8.547561,-0.092164904,0.08207891,-0.012880705,19.619999,51.3,-1.1999999,0.0,0.0,0.0
1572420970209,-4.2378664,2.073442,8.60263,-0.009698097,0.017938059,5.5833085E-4,19.199999,51.239998,-0.35999998,0.0,0.0,0.0
1572420970311,-4.3839173,2.0087965,8.722343,0.010460457,0.055811703,-0.003717726,19.56,51.36,-1.02,0.0,0.0,0.0
1572420970409,-4.228289,1.9752767,8.461368,0.0800991,-0.049867984,-0.04403483,19.98,51.899998,-0.48,0.0,0.0,0.0
1572420970511,-4.1397014,2.0255566,8.466156,0.03978199,-0.027876835,-0.015935032,19.26,51.539997,-0.12,0.0,0.0,0.0
1572420970614,-4.252232,2.0279508,8.61939,0.064827465,-0.12378268,-0.10389963,19.8,51.36,-0.42,0.0,0.0,0.0
1572420970713,-3.7661943,2.8180614,6.794952,0.5889498,-0.5324515,-0.14910366,19.619999,52.44,-1.02,0.0,0.0,0.0
1572420970816,-4.1516724,1.9992194,8.758257,-0.06528684,-0.16898671,-0.0012742649,19.74,52.62,-0.48,0.0,0.0,0.0
1572420970915,-4.2139235,1.9728824,8.672064,-0.031689245,0.06802901,0.015219097,18.84,52.559998,-1.1999999,0.0,0.0,0.0
1572420971018,-4.1756153,2.004008,8.600235,0.010460457,0.008775079,5.5833085E-4,18.779999,51.36,-0.96,0.0,0.0,0.0
1572420971119,-4.02717,2.083019,8.504464,0.038560256,-0.056587502,0.029879862,18.539999,51.42,-1.74,0.0,0.0,0.0
1572420971218,-3.9840732,2.1117504,8.626573,0.07765563,-0.10301326,-0.009215513,18.779999,51.539997,-1.5,0.0,0.0,0.0
1572420971319,-3.8667538,2.238647,8.700794,0.26946732,-0.36140928,0.056757934,18.9,51.42,-2.34,0.0,0.0,0.0
1572420971419,-3.8308396,2.4804688,8.909097,0.43684438,0.32703584,0.26872817,18.539999,51.059998,-2.8799999,0.0,0.0,0.0
1572420971520,-3.9266107,3.162837,8.5882635,0.14790514,-0.13538912,0.03904284,18.779999,48.539997,-1.9799999,0.0,0.0,0.0
1572420971622,-3.7853484,2.9162266,8.432636,-0.19540113,-0.05536577,0.03537765,18.9,47.76,-3.06,0.0,0.0,0.0
1572420971721,-3.8452053,2.918621,8.379962,-0.0500152,-0.13294566,0.024382077,18.72,49.14,-2.22,0.0,0.0,0.0
1572420971822,-3.7183087,2.9377751,8.540379,0.06971438,-0.04742452,0.07264043,17.94,48.78,-3.24,0.0,0.0,0.0
1572420971923,-3.5483153,3.007209,8.372779,0.20593733,-0.30643138,0.07752735,18.24,48.18,-3.6599998,0.0,0.0,0.0
1572420972024,-3.529161,2.9952378,8.576292,-0.06467597,-0.013216069,0.03904284,17.52,47.579998,-4.3199997,0.0,0.0,0.0
1572420972125,-3.3064935,3.0910087,8.624178,-0.02985665,0.03809661,0.043929763,17.699999,47.7,-3.54,0.0,0.0,0.0
1572420972226,-3.059883,3.2681851,8.27222,0.33788422,0.04603786,0.2314654,17.34,47.7,-4.14,0.0,0.0,0.0
1572420972327,-3.9313993,3.347196,8.861211,-0.04146309,0.10651352,0.031101594,18.6,46.62,-3.3,0.0,0.0,0.0
1572420972429,-3.5938065,3.2633965,6.8715687,-0.0066437703,-0.37607005,-0.0043285913,18.3,47.399998,-3.72,0.0,0.0,0.0
