Packet number,Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (G),Accelerometer Y (G),Accelerometer Z (G),Magnetometer X (G),Magnetometer Y (G),Magnetometer Z (G)
205,0.24,0.41,0.06,-0.13,0.03,1.03,,,
206,0.06,0.16,0.01,-0.14,0.03,1.02,,,
207,-0.2,0.08,-0.09,-0.13,0.03,1.02,,,
208,-0.03,-0.16,-0.15,-0.14,0.04,1.02,,,
209,0,-0.57,0.17,-0.14,0.04,1.01,,,
210,0.13,-0.58,0.05,-0.13,0.03,1.02,,,
211,0.24,-0.28,-0.02,-0.14,0.03,1.02,,,
212,-0.02,0.02,0.22,-0.14,0.03,1.02,,,
213,0,0.04,0.04,-0.14,0.03,1.02,,,
214,0.17,0.21,-0.16,-0.13,0.04,1.03,,,
215,0.2,0.18,-0.03,-0.14,0.03,1.03,,,
216,0.07,0,-0.05,-0.14,0.03,1.02,,,
217,-0.14,0.09,0.03,-0.13,0.03,1.02,,,
218,0.03,0.15,0.04,-0.13,0.03,1.02,,,
219,-0.03,0.23,0.09,-0.14,0.03,1.02,,,
220,-0.19,0.19,0.28,-0.14,0.03,1.01,,,
221,-0.02,0.09,0.01,-0.14,0.03,1.02,,,
222,-0.1,0.47,-0.19,-0.13,0.03,1.02,,,
223,0.03,0.51,0.29,-0.14,0.04,1.02,,,
224,0.23,0.34,0.1,-0.13,0.04,1.02,,,
225,0.14,0.24,0.17,-0.14,0.04,1.02,,,
226,0.14,0.14,-0.12,-0.14,0.03,1.02,,,
227,-0.15,0.16,0.08,-0.13,0.03,1.02,,,
228,0.03,0.08,-0.12,-0.14,0.03,1.02,,,
229,0.06,-0.13,0.2,-0.14,0.03,1.01,,,
230,0,-0.04,-0.15,-0.14,0.03,1.02,,,
231,-0.17,-0.03,0.03,-0.13,0.04,1.02,,,
232,0.2,-0.2,0.21,-0.14,0.03,1.02,,,
233,0.02,-0.07,0.32,-0.14,0.04,1.02,,,
234,-0.07,0.09,-0.02,-0.13,0.03,1.02,,,
235,0.01,-0.26,-0.06,-0.13,0.03,1.02,,,
236,-0.02,-0.21,-0.08,-0.13,0.03,1.01,,,
237,-0.11,0.03,0.01,-0.13,0.04,1.02,,,
238,-0.02,-0.02,-0.01,-0.14,0.03,1.02,,,
239,0.04,0.4,0.01,-0.14,0.03,1.02,,,
240,0.05,0.06,-0.01,-0.14,0.04,1.02,,,
241,0.03,0.25,0.08,-0.14,0.03,1.02,,,
242,-0.04,0.25,-0.01,-0.14,0.03,1.02,,,
243,0.11,0.1,-0.02,-0.13,0.03,1.02,,,
244,-0.04,-0.1,-0.09,-0.13,0.03,1.02,,,
245,0.05,-0.43,0,-0.13,0.03,1.02,,,
246,-0.05,-0.38,0.26,-0.13,0.03,1.02,,,
247,0.13,-0.46,0.24,-0.13,0.03,1.03,,,
248,0.17,-0.32,0.01,-0.13,0.03,1.01,,,
